,set_id,<qLKSiki>,<qLKSiki> + CoT,<Rc3kmmq>,<Rc3kmmq> + CoT,<qLKSiki> MAD R1 S3,<qLKSiki> MAD R1 S5,<qLKSiki> MAD R1 S7,<qLKSiki> MAD R2 S3,<qLKSiki> MAD R2 S5,<qLKSiki> MAD R2 S7,<qLKSiki> MAD R3 S3,<qLKSiki> MAD R3 S5,<qLKSiki> MAD R3 S7,<Rc3kmmq> MAD R1 S3,<Rc3kmmq> MAD R1 S5,<Rc3kmmq> MAD R1 S7,<Rc3kmmq> MAD R2 S3,<Rc3kmmq> MAD R2 S5,<Rc3kmmq> MAD R2 S7,<Rc3kmmq> MAD R3 S3,<Rc3kmmq> MAD R3 S5,<Rc3kmmq> MAD R3 S7,Mixed-A MAD R3 S7,Mixed-B MAD R3 S7,<qLKSiki> MoA W3 L3,<qLKSiki> MoA W3 L4,<qLKSiki> MoA W3 L5,<qLKSiki> MoA W4 L3,<qLKSiki> MoA W4 L4,<qLKSiki> MoA W4 L5,<qLKSiki> MoA W5 L3,<qLKSiki> MoA W5 L4,<qLKSiki> MoA W5 L5,<Rc3kmmq> MoA W3 L3,<Rc3kmmq> MoA W3 L4,<Rc3kmmq> MoA W3 L5,<Rc3kmmq> MoA W4 L3,<Rc3kmmq> MoA W4 L4,<Rc3kmmq> MoA W4 L5,<Rc3kmmq> MoA W5 L3,<Rc3kmmq> MoA W5 L4,<Rc3kmmq> MoA W5 L5,Mixed MoA W5 L5,<qLKSiki> Reflection T1,<qLKSiki> Reflection T2,<qLKSiki> Reflection T3,<qLKSiki> Reflection T4,<qLKSiki> Reflection T5,<Rc3kmmq> Reflection T1,<Rc3kmmq> Reflection T2,<Rc3kmmq> Reflection T3,<Rc3kmmq> Reflection T4,<Rc3kmmq> Reflection T5,Mixed-A Reflection T5,Mixed-B Reflection T5
0,114-1-1,0.4,0.0,0.07179487179487179,0.10810810810810811,0.1678321678321678,0.19289340101522842,0.1145374449339207,0.12499999999999999,0.1326530612244898,0.13978494623655915,0.15384615384615385,0.13023255813953485,0.15311004784688995,0.0784313725490196,0.1806451612903226,0.12307692307692308,0.1306532663316583,0.09600000000000002,0.09271523178807947,0.08979591836734695,0.08461538461538463,0.07692307692307693,0.0966542750929368,0.10699588477366255,0.16949152542372883,0.18181818181818182,0.1846153846153846,0.2,0.15942028985507248,0.1846153846153846,0.16666666666666669,0.16176470588235295,0.17910447761194032,0.0947867298578199,0.13402061855670103,0.09523809523809523,0.14213197969543148,0.13095238095238093,0.10837438423645318,0.0970873786407767,0.13999999999999999,0.15286624203821655,0.18333333333333335,0.1626794258373206,0.13496932515337423,0.06829268292682926,0.09090909090909091,0.06278026905829598,0.11152416356877323,0.0693069306930693,0.057761732851985555,0.05577689243027889,0.05357142857142857,0.09523809523809523,0.056603773584905655
1,57-1-2,0.3076923076923077,0.19354838709677422,0.369047619047619,0.24584717607973425,0.26993865030674846,0.23414634146341462,0.2328042328042328,0.19827586206896552,0.22310756972111553,0.21296296296296294,0.2062780269058296,0.2476190476190476,0.2347417840375587,0.35820895522388063,0.3101604278074866,0.2826086956521739,0.31417624521072796,0.2962962962962963,0.2622950819672131,0.24832214765100669,0.2530120481927711,0.2787456445993031,0.23938223938223938,0.2019543973941368,0.2731707317073171,0.2631578947368421,0.2777777777777778,0.2412060301507538,0.23188405797101447,0.26666666666666666,0.2631578947368421,0.25,0.2553191489361702,0.2287822878228782,0.23346303501945526,0.23045267489711935,0.2510460251046025,0.21960784313725484,0.27499999999999997,0.28112449799196787,0.25531914893617025,0.24060150375939848,0.31632653061224486,0.2658959537572254,0.23300970873786409,0.23529411764705885,0.25663716814159293,0.1984732824427481,0.2867383512544803,0.2464788732394366,0.25833333333333336,0.2588235294117647,0.24203821656050956,0.25531914893617025,0.21052631578947373
2,180-2-1,0.38271604938271614,0.3023255813953489,0.17117117117117117,0.13000000000000003,0.22660098522167485,0.1938325991189427,0.26993865030674846,0.3125,0.1818181818181818,0.18099547511312217,0.19742489270386268,0.17924528301886794,0.17241379310344826,0.15217391304347824,0.25438596491228066,0.2857142857142857,0.14598540145985403,0.15789473684210528,0.14634146341463417,0.14760147601476015,0.27564102564102566,0.1476510067114094,0.227027027027027,0.15807560137457047,0.29596412556053814,0.18867924528301885,0.20100502512562812,0.24390243902439027,0.2675159235668789,0.18285714285714288,0.22754491017964074,0.2122905027932961,0.21348314606741575,0.14516129032258066,0.15315315315315314,0.15596330275229356,0.15625,0.15637860082304528,0.17427385892116182,0.15547703180212014,0.16867469879518074,0.16309012875536477,0.20105820105820105,0.20408163265306126,0.17777777777777778,0.1981981981981982,0.19999999999999998,0.2060085836909871,0.20863309352517986,0.1527777777777778,0.18245614035087718,0.17777777777777778,0.32026143790849676,0.19487179487179487,0.14678899082568808
3,51-0-0,0.8055555555555555,0.6138613861386139,0.46715328467153283,0.3349282296650718,0.4105960264900662,0.4507042253521127,0.4129032258064516,0.3333333333333333,0.3369565217391305,0.25806451612903225,0.32487309644670054,0.2285714285714286,0.2823529411764706,0.46728971962616817,0.4275862068965517,0.467741935483871,0.2897196261682243,0.24691358024691354,0.27722772277227725,0.2285714285714286,0.2222222222222222,0.19661016949152543,0.2885572139303482,0.3045685279187817,0.3949044585987261,0.36046511627906974,0.2909090909090909,0.33707865168539325,0.32098765432098764,0.38216560509554137,0.37349397590361444,0.3726708074534162,0.3542857142857143,0.23809523809523808,0.2184873949579832,0.2186234817813765,0.25339366515837103,0.20532319391634982,0.2134387351778656,0.23008849557522124,0.2450592885375494,0.205761316872428,0.3583815028901734,0.3222222222222222,0.2714932126696833,0.2608695652173913,0.21238938053097345,0.19130434782608696,0.33962264150943394,0.18983050847457628,0.2007434944237918,0.2920353982300885,0.23628691983122366,0.18972332015810275,0.2566371681415929
4,68-0-2,0.5333333333333333,0.19354838709677416,0.2278481012658228,0.2092050209205021,0.31645569620253167,0.38297872340425526,0.3597122302158274,0.2824858757062147,0.2535211267605634,0.2574257425742575,0.2681564245810056,0.23923444976076555,0.2376237623762376,0.42857142857142855,0.33576642335766427,0.4032258064516128,0.2274881516587678,0.2191780821917808,0.16216216216216214,0.20765027322404372,0.20175438596491227,0.18723404255319148,0.20444444444444443,0.21645021645021648,0.4166666666666667,0.4067796610169492,0.3142857142857143,0.39694656488549623,0.3875968992248062,0.3703703703703704,0.30303030303030304,0.35211267605633806,0.36764705882352944,0.20100502512562815,0.14354066985645933,0.13877551020408166,0.17616580310880828,0.1801801801801802,0.19,0.17,0.15596330275229356,0.18348623853211007,0.33333333333333337,0.26881720430107525,0.2604166666666667,0.24043715846994534,0.21495327102803738,0.19387755102040816,0.22222222222222224,0.17061611374407584,0.2,0.1888888888888889,0.1739130434782609,0.1592920353982301,0.1769911504424779
5,73-0-1,0.3368421052631579,0.2962962962962962,0.4918032786885246,0.12454212454212454,0.21556886227544908,0.20689655172413793,0.2328767123287671,0.15706806282722513,0.1899441340782123,0.1752577319587629,0.1619047619047619,0.13733905579399142,0.11981566820276499,0.18604651162790697,0.29629629629629634,0.25,0.1570680628272251,0.16080402010050251,0.16184971098265896,0.13973799126637554,0.12875536480686697,0.09811320754716982,0.12017167381974249,0.12500000000000003,0.17391304347826086,0.23255813953488372,0.20382165605095542,0.19318181818181818,0.17647058823529413,0.18478260869565216,0.16774193548387098,0.22058823529411764,0.20338983050847462,0.13084112149532712,0.14150943396226415,0.13157894736842105,0.12322274881516587,0.11822660098522167,0.13658536585365855,0.11814345991561181,0.12264150943396226,0.10958904109589042,0.2285714285714286,0.15151515151515152,0.1797752808988764,0.14354066985645933,0.1346153846153846,0.19354838709677422,0.14018691588785046,0.19999999999999998,0.09243697478991596,0.17948717948717952,0.10377358490566038,0.11453744493392072,0.08333333333333334
6,226-0-0,0.4383561643835616,0.41726618705035967,0.366412213740458,0.31746031746031744,0.3846153846153846,0.4034334763948498,0.17142857142857143,0.37815126050420167,0.3460207612456747,0.1938325991189427,0.18340611353711792,0.14912280701754385,0.16170212765957448,0.421455938697318,0.4126984126984127,0.4015444015444015,0.366412213740458,0.26392961876832843,0.41843971631205673,0.3416370106761566,0.28490028490028485,0.34210526315789475,0.17796610169491525,0.3141025641025641,0.4075829383886256,0.45333333333333337,0.4131455399061033,0.42105263157894735,0.5471698113207547,0.44019138755980863,0.3982300884955753,0.484304932735426,0.41284403669724773,0.3208955223880597,0.2962962962962963,0.29605263157894735,0.33333333333333326,0.3055555555555555,0.34328358208955223,0.37500000000000006,0.2924281984334203,0.26720647773279355,0.4236453201970444,0.2971014492753623,0.17937219730941703,0.13043478260869568,0.29602888086642604,0.29285714285714287,0.37333333333333335,0.304635761589404,0.3018867924528302,0.3310344827586207,0.2582417582417582,0.3310810810810811,0.29473684210526313
7,22-1-1,0.35114503816793885,0.32116788321167883,0.40490797546012275,0.24309392265193372,0.31272727272727274,0.40869565217391307,0.30833333333333335,0.30597014925373134,0.3358778625954198,0.33195020746887965,0.31698113207547174,0.3014705882352941,0.29054054054054057,0.34328358208955223,0.3779527559055118,0.3206106870229008,0.3165467625899281,0.28938906752411575,0.29577464788732394,0.28289473684210525,0.2847222222222222,0.3015384615384616,0.3565217391304347,0.3057324840764331,0.3482142857142857,0.3861386138613861,0.34188034188034183,0.3781094527363184,0.39999999999999997,0.32710280373831774,0.37373737373737376,0.30845771144278605,0.39999999999999997,0.32558139534883723,0.3448275862068965,0.3250883392226149,0.3006535947712418,0.30959752321981426,0.3223684210526316,0.3365079365079365,0.2974683544303797,0.32081911262798635,0.2815533980582524,0.3153526970954357,0.2844827586206896,0.2695035460992908,0.3209876543209877,0.21428571428571425,0.311864406779661,0.30952380952380953,0.33561643835616434,0.3041825095057034,0.2662337662337662,0.2716981132075472,0.24087591240875916
8,214-0-1,0.4086021505376344,0.4150943396226416,0.24203821656050956,0.18326693227091634,0.2992125984251969,0.23684210526315788,0.28125,0.19387755102040816,0.2545454545454546,0.23749999999999996,0.22346368715083798,0.16831683168316833,0.15311004784688995,0.20408163265306123,0.24516129032258063,0.1925133689839572,0.18181818181818182,0.15384615384615385,0.15873015873015872,0.16600790513833993,0.16363636363636364,0.16600790513833993,0.16597510373443985,0.1461794019933555,0.25,0.24050632911392406,0.22950819672131145,0.2658227848101266,0.23448275862068962,0.2717391304347826,0.3067484662576687,0.27329192546583847,0.21794871794871798,0.13793103448275862,0.1572052401746725,0.18009478672985782,0.12931034482758622,0.1851851851851852,0.1296296296296296,0.1478599221789883,0.15789473684210525,0.1576763485477178,0.18292682926829268,0.36036036036036034,0.16666666666666669,0.17674418604651165,0.19801980198019803,0.2833333333333333,0.22598870056497175,0.09454545454545454,0.1923076923076923,0.19011406844106463,0.11895910780669146,0.14559386973180075,0.1440677966101695
9,163-1-0,0.4871794871794871,0.4,0.31693989071038253,0.19014084507042253,0.3684210526315789,0.3888888888888889,0.358974358974359,0.3052631578947368,0.2814070351758794,0.2857142857142857,0.233502538071066,0.24444444444444446,0.2017543859649123,0.2629107981220657,0.32926829268292684,0.2727272727272727,0.17993079584775087,0.17793594306049823,0.17266187050359716,0.2125984251968504,0.19379844961240308,0.14814814814814814,0.24434389140271492,0.18796992481203006,0.30573248407643316,0.2875,0.3170731707317073,0.35526315789473684,0.3184713375796179,0.3375,0.3473053892215569,0.3116883116883117,0.3018867924528302,0.16730038022813687,0.1908713692946058,0.19130434782608693,0.19327731092436976,0.1711711711711712,0.1672727272727273,0.16470588235294115,0.136,0.18930041152263377,0.33121019108280253,0.23478260869565218,0.2761904761904762,0.20588235294117643,0.1714285714285714,0.251082251082251,0.16417910447761194,0.19191919191919193,0.183206106870229,0.16666666666666669,0.215962441314554,0.22222222222222224,0.19742489270386265
