,set_id,<qLKSiki>,<qLKSiki> + CoT,<Rc3kmmq>,<Rc3kmmq> + CoT,<qLKSiki> MAD R1 S3,<qLKSiki> MAD R1 S5,<qLKSiki> MAD R1 S7,<qLKSiki> MAD R2 S3,<qLKSiki> MAD R2 S5,<qLKSiki> MAD R2 S7,<qLKSiki> MAD R3 S3,<qLKSiki> MAD R3 S5,<qLKSiki> MAD R3 S7,<Rc3kmmq> MAD R1 S3,<Rc3kmmq> MAD R1 S5,<Rc3kmmq> MAD R1 S7,<Rc3kmmq> MAD R2 S3,<Rc3kmmq> MAD R2 S5,<Rc3kmmq> MAD R2 S7,<Rc3kmmq> MAD R3 S3,<Rc3kmmq> MAD R3 S5,<Rc3kmmq> MAD R3 S7,Mixed-A MAD R3 S7,Mixed-B MAD R3 S7,<qLKSiki> MoA W3 L3,<qLKSiki> MoA W3 L4,<qLKSiki> MoA W3 L5,<qLKSiki> MoA W4 L3,<qLKSiki> MoA W4 L4,<qLKSiki> MoA W4 L5,<qLKSiki> MoA W5 L3,<qLKSiki> MoA W5 L4,<qLKSiki> MoA W5 L5,<Rc3kmmq> MoA W3 L3,<Rc3kmmq> MoA W3 L4,<Rc3kmmq> MoA W3 L5,<Rc3kmmq> MoA W4 L3,<Rc3kmmq> MoA W4 L4,<Rc3kmmq> MoA W4 L5,<Rc3kmmq> MoA W5 L3,<Rc3kmmq> MoA W5 L4,<Rc3kmmq> MoA W5 L5,Mixed MoA W5 L5,<qLKSiki> Reflection T1,<qLKSiki> Reflection T2,<qLKSiki> Reflection T3,<qLKSiki> Reflection T4,<qLKSiki> Reflection T5,<Rc3kmmq> Reflection T1,<Rc3kmmq> Reflection T2,<Rc3kmmq> Reflection T3,<Rc3kmmq> Reflection T4,<Rc3kmmq> Reflection T5,Mixed-A Reflection T5,Mixed-B Reflection T5
0,114-1-1,0.14349775784753366,0.2933333333333333,0.17647058823529413,0.14634146341463414,0.2459016393442623,0.2272727272727273,0.22891566265060243,0.21794871794871792,0.20253164556962025,0.16113744075829384,0.14423076923076925,0.16853932584269665,0.1871345029239766,0.14782608695652175,0.20224719101123595,0.15625,0.1365461847389558,0.13385826771653545,0.14225941422594143,0.12075471698113208,0.11469534050179211,0.08524590163934427,0.15023474178403756,0.16666666666666666,0.22377622377622375,0.20408163265306123,0.2064516129032258,0.183206106870229,0.23611111111111113,0.26356589147286824,0.2,0.22077922077922077,0.2285714285714286,0.13930348258706468,0.09420289855072464,0.12903225806451613,0.10612244897959183,0.11382113821138212,0.13,0.12612612612612611,0.10572687224669602,0.1079136690647482,0.18543046357615894,0.19277108433734938,0.15165876777251183,0.14545454545454545,0.12903225806451613,0.12962962962962962,0.13513513513513514,0.09322033898305086,0.0796812749003984,0.10294117647058823,0.07655502392344497,0.136986301369863,0.08040201005025126
1,51-0-0,0.38961038961038963,0.4313725490196078,0.36046511627906974,0.19292604501607719,0.38596491228070173,0.32727272727272727,0.39766081871345027,0.32195121951219513,0.3113207547169811,0.29535864978902954,0.2914572864321608,0.3022222222222222,0.24880382775119617,0.28699551569506726,0.3188405797101449,0.29000000000000004,0.21259842519685043,0.2625482625482625,0.18831168831168832,0.23999999999999996,0.2229965156794425,0.20069204152249134,0.2283464566929134,0.19867549668874174,0.378698224852071,0.39999999999999997,0.3941605839416058,0.40476190476190477,0.36046511627906974,0.3804347826086957,0.25870646766169153,0.31034482758620696,0.38202247191011235,0.25892857142857145,0.225,0.24545454545454548,0.1897810218978102,0.1935483870967742,0.1912350597609562,0.25101214574898784,0.2173913043478261,0.18348623853211007,0.34210526315789475,0.27118644067796605,0.2808510638297872,0.23931623931623927,0.2171945701357466,0.2549019607843137,0.18430034129692835,0.20077220077220076,0.28440366972477066,0.17712177121771217,0.1510791366906475,0.18548387096774194,0.2352941176470588
2,73-0-1,0.34883720930232553,0.38202247191011235,0.18604651162790695,0.1118881118881119,0.1443298969072165,0.15306122448979592,0.17486338797814208,0.14018691588785048,0.12444444444444443,0.13452914798206278,0.1386138613861386,0.11981566820276499,0.14634146341463414,0.15384615384615383,0.1694915254237288,0.18579234972677597,0.1739130434782609,0.14925373134328357,0.13286713286713286,0.12734082397003746,0.11985018726591762,0.14529914529914528,0.1507537688442211,0.12556053811659193,0.16666666666666666,0.1575757575757576,0.15730337078651685,0.15300546448087432,0.18285714285714286,0.19444444444444445,0.16049382716049382,0.163265306122449,0.1407035175879397,0.15789473684210528,0.15053763440860218,0.1382488479262673,0.11872146118721462,0.15463917525773196,0.1326530612244898,0.14018691588785046,0.14925373134328357,0.1134020618556701,0.14473684210526316,0.13274336283185842,0.1201716738197425,0.1590909090909091,0.12612612612612611,0.11607142857142858,0.1511627906976744,0.12121212121212122,0.13274336283185842,0.10646387832699619,0.10569105691056911,0.13913043478260873,0.09865470852017938
3,184-0-0,0.3157894736842105,0.4597701149425288,0.183206106870229,0.12996389891696752,0.2282608695652174,0.2011173184357542,0.16766467065868262,0.1941747572815534,0.20192307692307693,0.13270142180094788,0.18627450980392157,0.17582417582417584,0.15228426395939085,0.18,0.1642512077294686,0.16666666666666666,0.10563380281690142,0.1339712918660287,0.1552511415525114,0.1323529411764706,0.12451361867704282,0.12244897959183675,0.12745098039215685,0.1327800829875519,0.23076923076923073,0.16666666666666669,0.20118343195266275,0.19753086419753085,0.24358974358974358,0.21768707482993196,0.23863636363636367,0.19161676646706585,0.16993464052287582,0.15625,0.12871287128712872,0.10869565217391304,0.12440191387559808,0.15,0.0975609756097561,0.125,0.12444444444444444,0.11214953271028039,0.19607843137254904,0.16748768472906406,0.15165876777251186,0.17733990147783252,0.19318181818181818,0.1488372093023256,0.11475409836065573,0.1076923076923077,0.17391304347826086,0.1461187214611872,0.08979591836734693,0.11659192825112107,0.1217391304347826
4,116-1-0,0.4175824175824176,0.09523809523809522,0.22535211267605632,0.11149825783972125,0.22660098522167488,0.2732919254658385,0.30344827586206896,0.287292817679558,0.2376237623762376,0.15053763440860216,0.14883720930232558,0.14754098360655737,0.25274725274725274,0.16216216216216214,0.35000000000000003,0.3255813953488372,0.16842105263157897,0.1843971631205674,0.14492753623188406,0.1788617886178862,0.14234875444839856,0.20634920634920634,0.1947565543071161,0.1953125,0.2706766917293233,0.21761658031088082,0.25149700598802394,0.2168674698795181,0.26582278481012656,0.22459893048128343,0.2424242424242424,0.2742857142857143,0.25766871165644173,0.23280423280423282,0.2336448598130841,0.2121212121212121,0.1769230769230769,0.20253164556962025,0.21145374449339205,0.23728813559322035,0.21198156682027652,0.2122448979591837,0.29333333333333333,0.15450643776824036,0.16901408450704225,0.1523809523809524,0.2060085836909871,0.15454545454545454,0.1444866920152091,0.2136752136752137,0.16541353383458646,0.13688212927756654,0.17829457364341084,0.1953125,0.19574468085106383
5,138-0-1,0.1728395061728395,0.5333333333333332,0.22580645161290322,0.0972222222222222,0.1212121212121212,0.2068965517241379,0.12903225806451613,0.19999999999999998,0.0958904109589041,0.18181818181818182,0.09655172413793103,0.08536585365853659,0.2119205298013245,0.1340782122905028,0.16666666666666669,0.2830188679245283,0.1837837837837838,0.13761467889908258,0.058091286307053944,0.13612565445026178,0.128,0.062176165803108814,0.16,0.13877551020408163,0.11570247933884296,0.12612612612612611,0.17886178861788618,0.13461538461538458,0.11111111111111113,0.13445378151260504,0.11382113821138212,0.10687022900763359,0.10606060606060608,0.14035087719298245,0.08092485549132948,0.13872832369942198,0.16129032258064516,0.1414141414141414,0.15228426395939088,0.13259668508287292,0.18404907975460122,0.08290155440414507,0.19999999999999998,0.10687022900763359,0.17500000000000002,0.1566265060240964,0.07894736842105261,0.2011173184357542,0.17333333333333334,0.13617021276595745,0.14285714285714285,0.12173913043478261,0.10612244897959183,0.17857142857142855,0.15763546798029554
6,198-0-0,0.20183486238532108,0.43589743589743585,0.29074889867841414,0.21993127147766323,0.3047619047619048,0.2761904761904762,0.24561403508771934,0.27705627705627706,0.16289592760180996,0.18095238095238095,0.24472573839662445,0.12875536480686697,0.2241379310344828,0.4109589041095891,0.27488151658767773,0.22784810126582278,0.23367697594501718,0.24444444444444444,0.21686746987951808,0.22996515679442509,0.2341772151898734,0.2129032258064516,0.2068965517241379,0.19305019305019305,0.2222222222222222,0.18681318681318684,0.19354838709677416,0.2,0.1711229946524064,0.21468926553672316,0.22346368715083798,0.19858156028368792,0.19318181818181818,0.3261802575107296,0.26829268292682923,0.29133858267716534,0.26778242677824265,0.2889733840304182,0.2612244897959184,0.2819383259911894,0.26022304832713755,0.28800000000000003,0.37569060773480656,0.25142857142857145,0.2075471698113207,0.12807881773399016,0.18018018018018017,0.12669683257918554,0.2084942084942085,0.2265625,0.20645161290322583,0.24899598393574301,0.23076923076923075,0.2292490118577075,0.168141592920354
7,102-0-0,0.3333333333333333,0.31999999999999995,0.2198952879581152,0.13333333333333333,0.19387755102040816,0.2535211267605634,0.1791044776119403,0.17391304347826086,0.22115384615384615,0.19323671497584538,0.1596244131455399,0.136986301369863,0.22807017543859648,0.25510204081632654,0.1990049751243781,0.1890547263681592,0.19433198380566802,0.16666666666666669,0.1978021978021978,0.1810699588477366,0.1769230769230769,0.17391304347826086,0.20833333333333334,0.16370106761565834,0.2589928057553957,0.3142857142857142,0.24000000000000002,0.29530201342281875,0.2634730538922156,0.2533333333333333,0.273972602739726,0.22754491017964074,0.2303030303030303,0.17894736842105263,0.1866666666666667,0.168141592920354,0.163265306122449,0.17316017316017318,0.12727272727272723,0.15238095238095237,0.15841584158415842,0.17872340425531916,0.22222222222222227,0.2311111111111111,0.13445378151260504,0.1391304347826087,0.23364485981308414,0.12987012987012989,0.1484375,0.1732283464566929,0.1810699588477366,0.20909090909090908,0.14448669201520914,0.17021276595744683,0.18644067796610167
8,162-0-0,0.8285714285714286,0.49275362318840576,0.4444444444444444,0.1875,0.4025157232704402,0.4078947368421053,0.367816091954023,0.32460732984293195,0.32653061224489793,0.29245283018867924,0.298076923076923,0.2831050228310502,0.28971962616822433,0.3717948717948718,0.43421052631578944,0.3010752688172043,0.26720647773279355,0.24691358024691354,0.2711864406779661,0.2379182156133829,0.24806201550387594,0.24691358024691354,0.29629629629629634,0.2612244897959184,0.30999999999999994,0.38150289017341044,0.40506329113924056,0.36046511627906974,0.34285714285714286,0.35428571428571426,0.41558441558441556,0.3497267759562842,0.36470588235294116,0.2621359223300971,0.232,0.27678571428571425,0.30999999999999994,0.25423728813559315,0.27751196172248804,0.24528301886792456,0.26666666666666666,0.25423728813559315,0.4166666666666667,0.33155080213903737,0.298076923076923,0.12444444444444444,0.12552301255230125,0.2967032967032967,0.26905829596412556,0.2589285714285714,0.23893805309734517,0.26382978723404255,0.27149321266968324,0.4558823529411764,0.27184466019417475
9,95-0-1,0.22764227642276422,0.16666666666666663,0.16425120772946858,0.11634349030470915,0.20155038759689925,0.16243654822335024,0.17567567567567569,0.15720524017467252,0.18269230769230768,0.12698412698412698,0.1222222222222222,0.11483253588516747,0.14018691588785046,0.21276595744680854,0.19730941704035873,0.18834080717488788,0.15730337078651685,0.2026431718061674,0.16091954022988506,0.16176470588235295,0.1386138613861386,0.12837837837837837,0.13973799126637554,0.16593886462882096,0.15999999999999998,0.1506849315068493,0.1518987341772152,0.15217391304347827,0.1842105263157895,0.14379084967320263,0.15094339622641506,0.12790697674418605,0.17218543046357615,0.1935483870967742,0.20560747663551404,0.15178571428571427,0.16143497757847533,0.15510204081632656,0.17777777777777778,0.16071428571428573,0.16393442622950818,0.16071428571428573,0.18292682926829268,0.1262135922330097,0.11458333333333333,0.13930348258706468,0.13278008298755187,0.12556053811659193,0.15384615384615383,0.1459227467811159,0.1606425702811245,0.13592233009708737,0.14393939393939392,0.20100502512562815,0.10526315789473684
