,Sample,Event,Mentioned Container Order,Mentioned Container Order Reversed
0,1,15,2,4
1,1,16,1,1
2,2,15,3,0
3,2,16,2,1
4,3,18,0,3
5,4,17,0,1
6,5,18,2,3
7,5,19,2,3
8,6,17,1,4
9,6,18,0,5
10,7,20,4,2
11,8,18,3,2
12,9,15,0,0
13,9,17,0,0
14,10,19,1,3
15,11,18,0,0
16,12,15,1,3
17,12,16,1,3
18,13,17,0,2
19,14,17,0,5
20,15,16,0,2
21,16,16,0,2
22,17,16,2,4
23,18,16,1,2
24,18,17,1,2
25,19,14,2,4
26,19,15,1,1
27,20,16,2,4
28,21,15,0,2
29,22,17,1,0
30,23,15,3,4
31,24,15,0,1
32,25,15,1,4
33,26,15,1,1
34,27,14,1,1
35,27,15,1,1
36,28,18,3,1
37,29,16,0,1
38,30,16,0,2
39,30,17,0,2
40,31,16,3,0
41,32,15,2,4
42,32,16,2,4
43,33,17,2,5
44,34,16,0,2
45,35,16,3,1
46,36,14,1,3
47,36,15,0,2
48,37,17,2,3
49,37,19,1,4
50,38,16,3,4
51,39,16,0,0
52,40,15,0,1
53,41,14,2,3
54,41,15,2,3
55,42,16,0,0
56,43,15,2,3
57,44,17,2,1
58,45,18,0,2
59,46,15,0,1
60,47,16,1,4
61,47,17,1,4
62,48,15,3,2
63,48,16,2,1
64,49,16,2,3
65,50,17,0,0
66,51,17,0,3
67,52,17,3,2
68,52,18,2,0
69,53,17,1,4
70,53,19,0,2
71,54,16,2,0
72,55,15,2,0
73,55,16,1,3
74,56,20,1,2
75,57,16,4,4
76,58,17,0,2
77,59,17,3,6
78,60,16,2,2
79,61,18,3,1
80,62,16,2,3
81,62,17,2,3
82,63,16,1,3
83,63,17,1,3
84,64,18,2,1
85,65,17,2,4
86,66,16,2,4
87,66,17,1,2
88,67,18,1,3
89,68,16,2,2
90,68,17,2,2
91,69,17,2,4
92,70,15,0,3
93,70,16,0,3
94,71,15,0,4
95,72,17,0,1
96,73,16,0,4
97,74,16,2,4
98,74,17,1,6
99,75,16,0,3
100,76,17,2,5
101,77,17,0,2
102,78,17,1,3
103,79,15,2,4
104,79,16,1,1
105,80,14,1,2
106,80,15,0,4
107,81,15,1,3
108,81,17,1,3
109,82,14,2,2
110,82,15,1,4
111,83,14,1,2
112,83,15,0,4
113,84,17,0,3
114,85,15,1,2
115,85,16,1,2
116,86,16,2,3
117,86,17,1,1
118,87,17,3,3
119,88,16,0,2
120,89,18,0,2
121,90,19,3,2
122,91,18,3,1
123,92,15,0,4
124,93,17,1,1
125,94,16,3,1
126,95,15,0,2
127,96,16,1,0
128,97,17,2,4
129,98,18,3,2
130,99,16,4,4
131,100,17,4,1
