,Sample,Event,Mentioned Container Order,Mentioned Container Order Reversed
0,3,17,2,0
1,4,16,1,0
2,7,18,4,2
3,8,16,3,2
4,10,17,1,3
5,11,16,1,4
6,13,15,1,4
7,14,16,3,3
8,15,15,2,4
9,16,15,3,3
10,17,15,1,1
11,20,15,2,4
12,21,14,1,1
13,22,16,0,1
14,23,14,3,4
15,24,14,2,0
16,25,14,1,4
17,26,14,1,1
18,28,16,3,1
19,29,15,2,4
20,31,15,3,0
21,33,16,1,1
22,34,15,3,0
23,35,14,3,1
24,38,15,3,4
25,39,15,3,1
26,40,14,1,0
27,42,15,1,3
28,43,14,2,3
29,44,16,2,1
30,45,17,2,3
31,46,14,2,2
32,49,15,2,3
33,50,16,3,1
34,51,16,2,1
35,54,15,2,0
36,56,19,1,2
37,57,15,3,1
38,58,16,2,4
39,59,16,2,1
40,60,15,2,2
41,61,17,2,4
42,64,17,1,3
43,65,16,1,1
44,67,16,0,1
45,69,15,2,4
46,71,14,3,3
47,72,16,1,5
48,73,15,2,1
49,75,14,3,4
50,76,16,2,5
51,77,16,2,1
52,78,16,1,3
53,84,16,3,4
54,87,16,2,1
55,88,15,1,0
56,89,17,2,1
57,90,18,2,1
58,91,17,2,5
59,92,14,0,4
60,93,16,1,1
61,94,15,3,1
62,95,14,2,0
63,96,15,1,0
64,97,16,2,4
65,98,17,3,2
66,99,15,3,3
67,100,16,3,5
