,dataset,question_type,config,madp,llm,mean_metric,std_metric,count,ci_lower,ci_upper,rounds,solvers
2,FANToM,AnswerabilityQ_List,<Rc3kmmq> MAD R1 S3,MAD,<Rc3kmmq>,0.4777777777777778,0.502304303170668,90,0.374000633578272,0.5815549219772836,1.0,3.0
3,FANToM,AnswerabilityQ_List,<Rc3kmmq> MAD R1 S5,MAD,<Rc3kmmq>,0.4666666666666667,0.5016825622427262,90,0.3630179754736879,0.5703153578596454,1.0,5.0
4,FANToM,AnswerabilityQ_List,<Rc3kmmq> MAD R1 S7,MAD,<Rc3kmmq>,0.4777777777777778,0.502304303170668,90,0.374000633578272,0.5815549219772836,1.0,7.0
5,FANToM,AnswerabilityQ_List,<Rc3kmmq> MAD R2 S3,MAD,<Rc3kmmq>,0.4888888888888889,0.5026769786045272,90,0.38503474914704927,0.5927430286307285,2.0,3.0
6,FANToM,AnswerabilityQ_List,<Rc3kmmq> MAD R2 S5,MAD,<Rc3kmmq>,0.4444444444444444,0.4996877926639077,90,0.3412078769161827,0.5476810119727061,2.0,5.0
7,FANToM,AnswerabilityQ_List,<Rc3kmmq> MAD R2 S7,MAD,<Rc3kmmq>,0.4777777777777778,0.5023043031706679,90,0.374000633578272,0.5815549219772836,2.0,7.0
8,FANToM,AnswerabilityQ_List,<Rc3kmmq> MAD R3 S3,MAD,<Rc3kmmq>,0.4888888888888889,0.5026769786045272,90,0.38503474914704927,0.5927430286307285,3.0,3.0
9,FANToM,AnswerabilityQ_List,<Rc3kmmq> MAD R3 S5,MAD,<Rc3kmmq>,0.34444444444444444,0.477848904498678,90,0.2457198379564804,0.4431690509324085,3.0,5.0
10,FANToM,AnswerabilityQ_List,<Rc3kmmq> MAD R3 S7,MAD,<Rc3kmmq>,0.4,0.49264249635357604,90,0.2982190057696583,0.5017809942303417,3.0,7.0
27,FANToM,AnswerabilityQ_List,<qLKSiki> MAD R1 S3,MAD,<qLKSiki>,0.4777777777777778,0.5023043031706679,90,0.374000633578272,0.5815549219772836,1.0,3.0
28,FANToM,AnswerabilityQ_List,<qLKSiki> MAD R1 S5,MAD,<qLKSiki>,0.45555555555555555,0.5008108282005754,90,0.35208696648160076,0.5590241446295103,1.0,5.0
29,FANToM,AnswerabilityQ_List,<qLKSiki> MAD R1 S7,MAD,<qLKSiki>,0.5,0.5028011423654931,90,0.39612020775937673,0.6038797922406233,1.0,7.0
30,FANToM,AnswerabilityQ_List,<qLKSiki> MAD R2 S3,MAD,<qLKSiki>,0.5111111111111111,0.5026769786045271,90,0.4072569713692715,0.6149652508529506,2.0,3.0
31,FANToM,AnswerabilityQ_List,<qLKSiki> MAD R2 S5,MAD,<qLKSiki>,0.5111111111111111,0.5026769786045272,90,0.40725697136927147,0.6149652508529506,2.0,5.0
32,FANToM,AnswerabilityQ_List,<qLKSiki> MAD R2 S7,MAD,<qLKSiki>,0.4777777777777778,0.5023043031706679,90,0.374000633578272,0.5815549219772836,2.0,7.0
33,FANToM,AnswerabilityQ_List,<qLKSiki> MAD R3 S3,MAD,<qLKSiki>,0.5555555555555556,0.4996877926639077,90,0.45231898802729387,0.6587921230838173,3.0,3.0
34,FANToM,AnswerabilityQ_List,<qLKSiki> MAD R3 S5,MAD,<qLKSiki>,0.6111111111111112,0.49022912424414217,90,0.5098287247243154,0.7123934974979069,3.0,5.0
