,dataset,question_type,config,madp,llm,mean_metric,std_metric,count,ci_lower,ci_upper,layers,workers
11,FANToM,AnswerabilityQ_List,<Rc3kmmq> MoA W3 L3,MoA,<Rc3kmmq>,0.4777777777777778,0.502304303170668,90,0.374000633578272,0.5815549219772836,3.0,3.0
12,FANToM,AnswerabilityQ_List,<Rc3kmmq> MoA W3 L4,MoA,<Rc3kmmq>,0.4888888888888889,0.5026769786045273,90,0.38503474914704927,0.5927430286307285,4.0,3.0
13,FANToM,AnswerabilityQ_List,<Rc3kmmq> MoA W3 L5,MoA,<Rc3kmmq>,0.43333333333333335,0.4983117565757134,90,0.3303810578062487,0.536285608860418,5.0,3.0
14,FANToM,AnswerabilityQ_List,<Rc3kmmq> MoA W4 L3,MoA,<Rc3kmmq>,0.4777777777777778,0.5023043031706679,90,0.374000633578272,0.5815549219772836,3.0,4.0
15,FANToM,AnswerabilityQ_List,<Rc3kmmq> MoA W4 L4,MoA,<Rc3kmmq>,0.4,0.49264249635357593,90,0.2982190057696583,0.5017809942303417,4.0,4.0
16,FANToM,AnswerabilityQ_List,<Rc3kmmq> MoA W4 L5,MoA,<Rc3kmmq>,0.45555555555555555,0.5008108282005754,90,0.35208696648160076,0.5590241446295103,5.0,4.0
17,FANToM,AnswerabilityQ_List,<Rc3kmmq> MoA W5 L3,MoA,<Rc3kmmq>,0.45555555555555555,0.5008108282005754,90,0.35208696648160076,0.5590241446295103,3.0,5.0
18,FANToM,AnswerabilityQ_List,<Rc3kmmq> MoA W5 L4,MoA,<Rc3kmmq>,0.4777777777777778,0.502304303170668,90,0.374000633578272,0.5815549219772836,4.0,5.0
19,FANToM,AnswerabilityQ_List,<Rc3kmmq> MoA W5 L5,MoA,<Rc3kmmq>,0.4666666666666667,0.5016825622427262,90,0.3630179754736879,0.5703153578596454,5.0,5.0
36,FANToM,AnswerabilityQ_List,<qLKSiki> MoA W3 L3,MoA,<qLKSiki>,0.45555555555555555,0.5008108282005755,90,0.35208696648160076,0.5590241446295103,3.0,3.0
37,FANToM,AnswerabilityQ_List,<qLKSiki> MoA W3 L4,MoA,<qLKSiki>,0.4444444444444444,0.49968779266390756,90,0.3412078769161827,0.5476810119727061,4.0,3.0
38,FANToM,AnswerabilityQ_List,<qLKSiki> MoA W3 L5,MoA,<qLKSiki>,0.5,0.5028011423654931,90,0.39612020775937673,0.6038797922406233,5.0,3.0
39,FANToM,AnswerabilityQ_List,<qLKSiki> MoA W4 L3,MoA,<qLKSiki>,0.43333333333333335,0.4983117565757133,90,0.33038105780624877,0.536285608860418,3.0,4.0
40,FANToM,AnswerabilityQ_List,<qLKSiki> MoA W4 L4,MoA,<qLKSiki>,0.4888888888888889,0.5026769786045273,90,0.38503474914704927,0.5927430286307285,4.0,4.0
41,FANToM,AnswerabilityQ_List,<qLKSiki> MoA W4 L5,MoA,<qLKSiki>,0.4777777777777778,0.502304303170668,90,0.374000633578272,0.5815549219772836,5.0,4.0
42,FANToM,AnswerabilityQ_List,<qLKSiki> MoA W5 L3,MoA,<qLKSiki>,0.4111111111111111,0.4947918514685246,90,0.30888605551340304,0.5133361667088192,3.0,5.0
43,FANToM,AnswerabilityQ_List,<qLKSiki> MoA W5 L4,MoA,<qLKSiki>,0.45555555555555555,0.5008108282005754,90,0.35208696648160076,0.5590241446295103,4.0,5.0
44,FANToM,AnswerabilityQ_List,<qLKSiki> MoA W5 L5,MoA,<qLKSiki>,0.5111111111111111,0.5026769786045271,90,0.4072569713692715,0.6149652508529506,5.0,5.0
50,FANToM,AnswerabilityQ_List,Mixed MoA W5 L5,MoA,Mixed,0.45555555555555555,0.5008108282005754,90,0.35208696648160076,0.5590241446295103,5.0,5.0
66,FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MoA W3 L3,MoA,<Rc3kmmq>,0.43617021276595747,0.49656979397028167,376,0.38597729446233003,0.4863631310695849,3.0,3.0
67,FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MoA W3 L4,MoA,<Rc3kmmq>,0.42819148936170215,0.495475987208976,376,0.37810913226030013,0.47827384646310417,4.0,3.0
68,FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MoA W3 L5,MoA,<Rc3kmmq>,0.42021276595744683,0.49425063271913194,376,0.37025426680823714,0.4701712651066565,5.0,3.0
69,FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MoA W4 L3,MoA,<Rc3kmmq>,0.425531914893617,0.49508219820422095,376,0.37548936170212766,0.4755744680851064,3.0,4.0
70,FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MoA W4 L4,MoA,<Rc3kmmq>,0.43882978723404253,0.4969053165513743,376,0.38860295454877875,0.4890566199193063,4.0,4.0
71,FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MoA W4 L5,MoA,<Rc3kmmq>,0.42819148936170215,0.4954759872089758,376,0.37810913226030013,0.47827384646310417,5.0,4.0
72,FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MoA W5 L3,MoA,<Rc3kmmq>,0.449468085106383,0.4981027835484593,376,0.39912021331667547,0.4998159568960905,3.0,5.0
73,FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MoA W5 L4,MoA,<Rc3kmmq>,0.4308510638297872,0.4958551607329823,376,0.38073038014077465,0.4809717475187998,4.0,5.0
74,FANToM,AnswerabilityQs_Binary,<Rc3kmmq> MoA W5 L5,MoA,<Rc3kmmq>,0.43882978723404253,0.49690531655137393,376,0.3886029545487788,0.48905661991930627,5.0,5.0
91,FANToM,AnswerabilityQs_Binary,<qLKSiki> MoA W3 L3,MoA,<qLKSiki>,0.5132978723404256,0.5004891224613456,376,0.46270879112647656,0.5638869535543746,3.0,3.0
92,FANToM,AnswerabilityQs_Binary,<qLKSiki> MoA W3 L4,MoA,<qLKSiki>,0.4228723404255319,0.4946737588144071,376,0.37287107199435987,0.47287360885670393,4.0,3.0
93,FANToM,AnswerabilityQs_Binary,<qLKSiki> MoA W3 L5,MoA,<qLKSiki>,0.40691489361702127,0.4919133291589641,376,0.3571926474338011,0.45663713980024145,5.0,3.0
94,FANToM,AnswerabilityQs_Binary,<qLKSiki> MoA W4 L3,MoA,<qLKSiki>,0.7101063829787234,0.45431735088938524,376,0.6641843112900937,0.7560284546673531,3.0,4.0
95,FANToM,AnswerabilityQs_Binary,<qLKSiki> MoA W4 L4,MoA,<qLKSiki>,0.5611702127659575,0.496905316551374,376,0.5109433800806937,0.6113970454512212,4.0,4.0
96,FANToM,AnswerabilityQs_Binary,<qLKSiki> MoA W4 L5,MoA,<qLKSiki>,0.47074468085106386,0.4998084739560724,376,0.420224399099413,0.5212649626027147,5.0,4.0
97,FANToM,AnswerabilityQs_Binary,<qLKSiki> MoA W5 L3,MoA,<qLKSiki>,0.6622340425531915,0.47357850008703006,376,0.6143650677306003,0.7101030173757827,3.0,5.0
98,FANToM,AnswerabilityQs_Binary,<qLKSiki> MoA W5 L4,MoA,<qLKSiki>,0.5638297872340425,0.49656979397028145,376,0.5136368689304152,0.6140227055376699,4.0,5.0
99,FANToM,AnswerabilityQs_Binary,<qLKSiki> MoA W5 L5,MoA,<qLKSiki>,0.4654255319148936,0.4994678018715352,376,0.41493968505299067,0.5159113787767965,5.0,5.0
105,FANToM,AnswerabilityQs_Binary,Mixed MoA W5 L5,MoA,Mixed,0.6303191489361702,0.4833614567508878,376,0.5814613198768546,0.6791769779954859,5.0,5.0
121,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MoA W3 L3,MoA,<Rc3kmmq>,0.24675324675324675,0.4339489466650291,77,0.14982522540588794,0.34368126810060556,3.0,3.0
122,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MoA W3 L4,MoA,<Rc3kmmq>,0.2727272727272727,0.44828220776542427,77,0.17259773505272072,0.3728568104018247,4.0,3.0
123,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MoA W3 L5,MoA,<Rc3kmmq>,0.24675324675324675,0.43394894666502903,77,0.14982522540588794,0.34368126810060556,5.0,3.0
124,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MoA W4 L3,MoA,<Rc3kmmq>,0.2597402597402597,0.44136741475237473,77,0.16115522910952548,0.3583252903709939,3.0,4.0
125,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MoA W4 L4,MoA,<Rc3kmmq>,0.2597402597402597,0.4413674147523747,77,0.1611552291095255,0.3583252903709939,4.0,4.0
126,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MoA W4 L5,MoA,<Rc3kmmq>,0.2987012987012987,0.4606898450017809,77,0.19580035730251044,0.40160224010008694,5.0,4.0
127,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MoA W5 L3,MoA,<Rc3kmmq>,0.22077922077922077,0.4174917781534154,77,0.12752711751639667,0.31403132404204487,3.0,5.0
128,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MoA W5 L4,MoA,<Rc3kmmq>,0.2077922077922078,0.4083877909943188,77,0.11657359595385802,0.2990108196305576,4.0,5.0
129,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MoA W5 L5,MoA,<Rc3kmmq>,0.19480519480519481,0.3986477484460184,77,0.10576214545939462,0.283848244150995,5.0,5.0
146,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MoA W3 L3,MoA,<qLKSiki>,0.4155844155844156,0.4960541500218804,77,0.30478440647670474,0.5263844246921264,3.0,3.0
