dataset,question_type,config,madp,llm,mean_metric,std_metric,count,ci_lower,ci_upper
FANToM,AnswerabilityQ_List,<Rc3kmmq>,Vanilla,<Rc3kmmq>,0.4,0.49264249635357604,90,0.2982190057696583,0.5017809942303417
FANToM,AnswerabilityQ_List,<Rc3kmmq> + CoT,CoT,<Rc3kmmq>,0.37777777777777777,0.4875478144866783,90,0.27704935572612194,0.4785061998294336
FANToM,AnswerabilityQ_List,<Rc3kmmq> MAD R1 S3,MAD,<Rc3kmmq>,0.4777777777777778,0.502304303170668,90,0.374000633578272,0.5815549219772836
FANToM,AnswerabilityQ_List,<Rc3kmmq> MAD R1 S5,MAD,<Rc3kmmq>,0.4666666666666667,0.5016825622427262,90,0.3630179754736879,0.5703153578596454
FANToM,AnswerabilityQ_List,<Rc3kmmq> MAD R1 S7,MAD,<Rc3kmmq>,0.4777777777777778,0.502304303170668,90,0.374000633578272,0.5815549219772836
FANToM,AnswerabilityQ_List,<Rc3kmmq> MAD R2 S3,MAD,<Rc3kmmq>,0.4888888888888889,0.5026769786045272,90,0.38503474914704927,0.5927430286307285
FANToM,AnswerabilityQ_List,<Rc3kmmq> MAD R2 S5,MAD,<Rc3kmmq>,0.4444444444444444,0.4996877926639077,90,0.3412078769161827,0.5476810119727061
FANToM,AnswerabilityQ_List,<Rc3kmmq> MAD R2 S7,MAD,<Rc3kmmq>,0.4777777777777778,0.5023043031706679,90,0.374000633578272,0.5815549219772836
FANToM,AnswerabilityQ_List,<Rc3kmmq> MAD R3 S3,MAD,<Rc3kmmq>,0.4888888888888889,0.5026769786045272,90,0.38503474914704927,0.5927430286307285
FANToM,AnswerabilityQ_List,<Rc3kmmq> MAD R3 S5,MAD,<Rc3kmmq>,0.34444444444444444,0.477848904498678,90,0.2457198379564804,0.4431690509324085
FANToM,AnswerabilityQ_List,<Rc3kmmq> MAD R3 S7,MAD,<Rc3kmmq>,0.4,0.49264249635357604,90,0.2982190057696583,0.5017809942303417
FANToM,AnswerabilityQ_List,<Rc3kmmq> MoA W3 L3,MoA,<Rc3kmmq>,0.4777777777777778,0.502304303170668,90,0.374000633578272,0.5815549219772836
FANToM,AnswerabilityQ_List,<Rc3kmmq> MoA W3 L4,MoA,<Rc3kmmq>,0.4888888888888889,0.5026769786045273,90,0.38503474914704927,0.5927430286307285
FANToM,AnswerabilityQ_List,<Rc3kmmq> MoA W3 L5,MoA,<Rc3kmmq>,0.43333333333333335,0.4983117565757134,90,0.3303810578062487,0.536285608860418
FANToM,AnswerabilityQ_List,<Rc3kmmq> MoA W4 L3,MoA,<Rc3kmmq>,0.4777777777777778,0.5023043031706679,90,0.374000633578272,0.5815549219772836
FANToM,AnswerabilityQ_List,<Rc3kmmq> MoA W4 L4,MoA,<Rc3kmmq>,0.4,0.49264249635357593,90,0.2982190057696583,0.5017809942303417
FANToM,AnswerabilityQ_List,<Rc3kmmq> MoA W4 L5,MoA,<Rc3kmmq>,0.45555555555555555,0.5008108282005754,90,0.35208696648160076,0.5590241446295103
FANToM,AnswerabilityQ_List,<Rc3kmmq> MoA W5 L3,MoA,<Rc3kmmq>,0.45555555555555555,0.5008108282005754,90,0.35208696648160076,0.5590241446295103
FANToM,AnswerabilityQ_List,<Rc3kmmq> MoA W5 L4,MoA,<Rc3kmmq>,0.4777777777777778,0.502304303170668,90,0.374000633578272,0.5815549219772836
FANToM,AnswerabilityQ_List,<Rc3kmmq> MoA W5 L5,MoA,<Rc3kmmq>,0.4666666666666667,0.5016825622427262,90,0.3630179754736879,0.5703153578596454
FANToM,AnswerabilityQ_List,<Rc3kmmq> Reflection T1,Reflection,<Rc3kmmq>,0.3888888888888889,0.49022912424414206,90,0.2876065025020932,0.4901712752756846
FANToM,AnswerabilityQ_List,<Rc3kmmq> Reflection T2,Reflection,<Rc3kmmq>,0.5222222222222223,0.5023043031706679,90,0.41844507802271647,0.625999366421728
FANToM,AnswerabilityQ_List,<Rc3kmmq> Reflection T3,Reflection,<Rc3kmmq>,0.45555555555555555,0.5008108282005755,90,0.35208696648160076,0.5590241446295103
FANToM,AnswerabilityQ_List,<Rc3kmmq> Reflection T4,Reflection,<Rc3kmmq>,0.45555555555555555,0.5008108282005755,90,0.35208696648160076,0.5590241446295103
FANToM,AnswerabilityQ_List,<Rc3kmmq> Reflection T5,Reflection,<Rc3kmmq>,0.4,0.4926424963535759,90,0.2982190057696583,0.5017809942303417
FANToM,AnswerabilityQ_List,<qLKSiki>,Vanilla,<qLKSiki>,0.43333333333333335,0.4983117565757134,90,0.3303810578062487,0.536285608860418
FANToM,AnswerabilityQ_List,<qLKSiki> + CoT,CoT,<qLKSiki>,0.4,0.492642496353576,90,0.2982190057696583,0.5017809942303417
FANToM,AnswerabilityQ_List,<qLKSiki> MAD R1 S3,MAD,<qLKSiki>,0.4777777777777778,0.5023043031706679,90,0.374000633578272,0.5815549219772836
FANToM,AnswerabilityQ_List,<qLKSiki> MAD R1 S5,MAD,<qLKSiki>,0.45555555555555555,0.5008108282005754,90,0.35208696648160076,0.5590241446295103
FANToM,AnswerabilityQ_List,<qLKSiki> MAD R1 S7,MAD,<qLKSiki>,0.5,0.5028011423654931,90,0.39612020775937673,0.6038797922406233
FANToM,AnswerabilityQ_List,<qLKSiki> MAD R2 S3,MAD,<qLKSiki>,0.5111111111111111,0.5026769786045271,90,0.4072569713692715,0.6149652508529506
FANToM,AnswerabilityQ_List,<qLKSiki> MAD R2 S5,MAD,<qLKSiki>,0.5111111111111111,0.5026769786045272,90,0.40725697136927147,0.6149652508529506
FANToM,AnswerabilityQ_List,<qLKSiki> MAD R2 S7,MAD,<qLKSiki>,0.4777777777777778,0.5023043031706679,90,0.374000633578272,0.5815549219772836
FANToM,AnswerabilityQ_List,<qLKSiki> MAD R3 S3,MAD,<qLKSiki>,0.5555555555555556,0.4996877926639077,90,0.45231898802729387,0.6587921230838173
FANToM,AnswerabilityQ_List,<qLKSiki> MAD R3 S5,MAD,<qLKSiki>,0.6111111111111112,0.49022912424414217,90,0.5098287247243154,0.7123934974979069
FANToM,AnswerabilityQ_List,<qLKSiki> MAD R3 S7,MAD,<qLKSiki>,0.5,0.5028011423654931,90,0.39612020775937673,0.6038797922406233
FANToM,AnswerabilityQ_List,<qLKSiki> MoA W3 L3,MoA,<qLKSiki>,0.45555555555555555,0.5008108282005755,90,0.35208696648160076,0.5590241446295103
FANToM,AnswerabilityQ_List,<qLKSiki> MoA W3 L4,MoA,<qLKSiki>,0.4444444444444444,0.49968779266390756,90,0.3412078769161827,0.5476810119727061
FANToM,AnswerabilityQ_List,<qLKSiki> MoA W3 L5,MoA,<qLKSiki>,0.5,0.5028011423654931,90,0.39612020775937673,0.6038797922406233
FANToM,AnswerabilityQ_List,<qLKSiki> MoA W4 L3,MoA,<qLKSiki>,0.43333333333333335,0.4983117565757133,90,0.33038105780624877,0.536285608860418
FANToM,AnswerabilityQ_List,<qLKSiki> MoA W4 L4,MoA,<qLKSiki>,0.4888888888888889,0.5026769786045273,90,0.38503474914704927,0.5927430286307285
FANToM,AnswerabilityQ_List,<qLKSiki> MoA W4 L5,MoA,<qLKSiki>,0.4777777777777778,0.502304303170668,90,0.374000633578272,0.5815549219772836
FANToM,AnswerabilityQ_List,<qLKSiki> MoA W5 L3,MoA,<qLKSiki>,0.4111111111111111,0.4947918514685246,90,0.30888605551340304,0.5133361667088192
FANToM,AnswerabilityQ_List,<qLKSiki> MoA W5 L4,MoA,<qLKSiki>,0.45555555555555555,0.5008108282005754,90,0.35208696648160076,0.5590241446295103
FANToM,AnswerabilityQ_List,<qLKSiki> MoA W5 L5,MoA,<qLKSiki>,0.5111111111111111,0.5026769786045271,90,0.4072569713692715,0.6149652508529506
FANToM,AnswerabilityQ_List,<qLKSiki> Reflection T1,Reflection,<qLKSiki>,0.5333333333333333,0.5016825622427263,90,0.4296846421403545,0.6369820245263121
FANToM,AnswerabilityQ_List,<qLKSiki> Reflection T2,Reflection,<qLKSiki>,0.4222222222222222,0.4966806171531967,90,0.3196069435912253,0.5248375008532191
FANToM,AnswerabilityQ_List,<qLKSiki> Reflection T3,Reflection,<qLKSiki>,0.4666666666666667,0.5016825622427264,90,0.36301797547368786,0.5703153578596455
FANToM,AnswerabilityQ_List,<qLKSiki> Reflection T4,Reflection,<qLKSiki>,0.45555555555555555,0.5008108282005754,90,0.35208696648160076,0.5590241446295103
FANToM,AnswerabilityQ_List,<qLKSiki> Reflection T5,Reflection,<qLKSiki>,0.43333333333333335,0.49831175657571336,90,0.33038105780624877,0.536285608860418
FANToM,AnswerabilityQ_List,Mixed MoA W5 L5,MoA,Mixed,0.45555555555555555,0.5008108282005754,90,0.35208696648160076,0.5590241446295103
FANToM,AnswerabilityQ_List,Mixed-A MAD R3 S7,MAD,Mixed,0.5111111111111111,0.5026769786045273,90,0.4072569713692714,0.6149652508529507
