question_type,<Rc3kmmq>,<Rc3kmmq> + CoT,<Rc3kmmq> MAD R1 S3,<Rc3kmmq> MAD R1 S5,<Rc3kmmq> MAD R1 S7,<Rc3kmmq> MAD R2 S3,<Rc3kmmq> MAD R2 S5,<Rc3kmmq> MAD R2 S7,<Rc3kmmq> MAD R3 S3,<Rc3kmmq> MAD R3 S5,<Rc3kmmq> MAD R3 S7,<Rc3kmmq> MoA W3 L3,<Rc3kmmq> MoA W3 L4,<Rc3kmmq> MoA W3 L5,<Rc3kmmq> MoA W4 L3,<Rc3kmmq> MoA W4 L4,<Rc3kmmq> MoA W4 L5,<Rc3kmmq> MoA W5 L3,<Rc3kmmq> MoA W5 L4,<Rc3kmmq> MoA W5 L5,<Rc3kmmq> Reflection T1,<Rc3kmmq> Reflection T2,<Rc3kmmq> Reflection T3,<Rc3kmmq> Reflection T4,<Rc3kmmq> Reflection T5,<qLKSiki>,<qLKSiki> + CoT,<qLKSiki> MAD R1 S3,<qLKSiki> MAD R1 S5,<qLKSiki> MAD R1 S7,<qLKSiki> MAD R2 S3,<qLKSiki> MAD R2 S5,<qLKSiki> MAD R2 S7,<qLKSiki> MAD R3 S3,<qLKSiki> MAD R3 S5,<qLKSiki> MAD R3 S7,<qLKSiki> MoA W3 L3,<qLKSiki> MoA W3 L4,<qLKSiki> MoA W3 L5,<qLKSiki> MoA W4 L3,<qLKSiki> MoA W4 L4,<qLKSiki> MoA W4 L5,<qLKSiki> MoA W5 L3,<qLKSiki> MoA W5 L4,<qLKSiki> MoA W5 L5,<qLKSiki> Reflection T1,<qLKSiki> Reflection T2,<qLKSiki> Reflection T3,<qLKSiki> Reflection T4,<qLKSiki> Reflection T5,Mixed MoA W5 L5,Mixed-A MAD R3 S7,Mixed-A Reflection T5,Mixed-B MAD R3 S7,Mixed-B Reflection T5
AnswerabilityQ_List,0.4,0.38,0.48,0.47,0.48,0.49,0.44,0.48,0.49,0.34,0.4,0.48,0.49,0.43,0.48,0.4,0.46,0.46,0.48,0.47,0.39,0.52,0.46,0.46,0.4,0.43,0.4,0.48,0.46,0.5,0.51,0.51,0.48,0.56,0.61,0.5,0.46,0.44,0.5,0.43,0.49,0.48,0.41,0.46,0.51,0.53,0.42,0.47,0.46,0.43,0.46,0.51,0.4,0.5,0.48
AnswerabilityQs_Binary,0.52,0.7,0.52,0.51,0.52,0.52,0.52,0.52,0.51,0.5,0.51,0.44,0.43,0.42,0.43,0.44,0.43,0.45,0.43,0.44,0.51,0.51,0.52,0.52,0.52,0.76,0.79,0.84,0.85,0.86,0.82,0.85,0.84,0.82,0.85,0.83,0.51,0.42,0.41,0.71,0.56,0.47,0.66,0.56,0.47,0.82,0.77,0.79,0.8,0.81,0.63,0.64,0.55,0.65,0.81
BeliefQ_Choice_First_Order,0.19,0.32,0.31,0.31,0.27,0.31,0.32,0.29,0.35,0.34,0.39,0.25,0.27,0.25,0.26,0.26,0.3,0.22,0.21,0.19,0.29,0.27,0.25,0.3,0.31,0.4,0.49,0.47,0.47,0.48,0.48,0.47,0.48,0.51,0.48,0.47,0.42,0.4,0.42,0.4,0.43,0.44,0.42,0.39,0.38,0.43,0.42,0.42,0.4,0.4,0.32,0.35,0.31,0.35,0.39
BeliefQ_Choice_Second_Order_Acyclic,0.62,0.73,0.42,0.46,0.42,0.5,0.5,0.42,0.54,0.46,0.54,0.5,0.42,0.38,0.46,0.42,0.42,0.38,0.38,0.42,0.5,0.27,0.38,0.54,0.42,0.5,0.69,0.42,0.42,0.38,0.42,0.54,0.42,0.46,0.5,0.42,0.54,0.54,0.46,0.54,0.54,0.5,0.62,0.58,0.5,0.38,0.42,0.35,0.46,0.38,0.58,0.58,0.35,0.42,0.38
BeliefQ_Choice_Second_Order_Cyclic,0.52,0.63,0.44,0.44,0.48,0.52,0.56,0.56,0.52,0.63,0.56,0.41,0.41,0.48,0.52,0.44,0.52,0.44,0.48,0.37,0.56,0.48,0.44,0.56,0.63,0.48,0.59,0.52,0.52,0.52,0.52,0.56,0.56,0.44,0.48,0.52,0.44,0.52,0.56,0.44,0.56,0.52,0.52,0.56,0.44,0.48,0.52,0.52,0.44,0.41,0.52,0.63,0.44,0.41,0.52
BeliefQ_Dist_First_Order,0.09,0.17,0.06,0.08,0.06,0.1,0.12,0.13,0.08,0.09,0.12,0.05,0.05,0.06,0.09,0.06,0.06,0.06,0.09,0.06,0.09,0.1,0.13,0.09,0.1,0.08,0.16,0.16,0.17,0.13,0.25,0.3,0.22,0.23,0.34,0.29,0.04,0.06,0.08,0.08,0.08,0.06,0.13,0.08,0.09,0.25,0.21,0.26,0.18,0.18,0.05,0.19,0.14,0.17,0.25
BeliefQ_Dist_First_Order_TokenF1,0.29,0.2,0.28,0.28,0.28,0.22,0.21,0.22,0.2,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.23,0.2,0.19,0.19,0.18,0.37,0.35,0.28,0.29,0.28,0.25,0.24,0.24,0.23,0.21,0.22,0.29,0.29,0.28,0.29,0.29,0.27,0.28,0.28,0.28,0.23,0.2,0.2,0.2,0.19,0.29,0.22,0.19,0.22,0.18
BeliefQ_Dist_Second_Order_Acyclic,0.31,0.46,0.42,0.42,0.46,0.46,0.46,0.46,0.5,0.38,0.46,0.19,0.15,0.27,0.12,0.19,0.12,0.12,0.12,0.15,0.38,0.35,0.38,0.42,0.42,0.42,0.54,0.27,0.38,0.42,0.54,0.5,0.42,0.54,0.65,0.62,0.31,0.42,0.31,0.35,0.27,0.35,0.31,0.31,0.35,0.5,0.62,0.73,0.65,0.62,0.15,0.46,0.35,0.5,0.73
BeliefQ_Dist_Second_Order_Acyclic_TokenF1,0.24,0.15,0.22,0.21,0.2,0.17,0.17,0.18,0.16,0.16,0.16,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.15,0.15,0.16,0.14,0.31,0.3,0.25,0.24,0.24,0.19,0.2,0.19,0.18,0.17,0.17,0.21,0.22,0.21,0.22,0.21,0.23,0.23,0.22,0.22,0.18,0.17,0.17,0.15,0.15,0.24,0.17,0.17,0.16,0.14
BeliefQ_Dist_Second_Order_Cyclic,0.3,0.41,0.33,0.33,0.37,0.44,0.3,0.33,0.26,0.37,0.3,0.19,0.15,0.19,0.07,0.11,0.19,0.19,0.15,0.15,0.33,0.22,0.33,0.33,0.33,0.33,0.41,0.3,0.33,0.22,0.52,0.44,0.56,0.52,0.52,0.37,0.19,0.26,0.19,0.3,0.22,0.15,0.19,0.22,0.19,0.3,0.52,0.56,0.3,0.59,0.26,0.33,0.26,0.26,0.44
